trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
41273,14406,1766,2567,7
41113,14361,1766,2566,7
41187,14382,1766,2566,7
41343,14422,1766,2570,7
42826,14681,1769,2599,7
41753,14490,1766,2583,7
41942,14537,1766,2584,7
41738,14481,1766,2583,7
42773,14673,1769,2599,7
40951,14320,1766,2555,7
40943,14324,1766,2555,7
42029,14551,1766,2587,7
41549,14458,1766,2583,7
41527,14451,1766,2583,7
40959,14340,1766,2555,7
42000,14563,1766,2587,7
41238,14390,1766,2567,7
41280,14406,1766,2567,7
43026,14717,1769,2599,7
42996,14728,1769,2600,7
42018,14575,1766,2587,7
42006,14572,1766,2587,7
43001,14736,1769,2600,7
43006,14724,1769,2600,7
42814,14679,1769,2599,7
42980,14746,1769,2600,7
42950,14706,1769,2599,7
42000,14562,1766,2587,7
42460,14631,1769,2595,7
