trophies,3vs3Victories,soloVictories,duoVictories,bestRoboRumbleTime
41273,0,0,0,0
41113,0,0,0,0
41187,0,0,0,0
41343,0,0,0,0
41753,0,0,0,0
41942,0,0,0,0
41738,0,0,0,0
40951,0,0,0,0
40943,0,0,0,0
42029,0,0,0,0
41549,0,0,0,0
41527,0,0,0,0
40959,0,0,0,0
42000,0,0,0,0
41238,0,0,0,0
41280,0,0,0,0
41273,14406,1766,2567,7
41113,14361,1766,2566,7
41187,14382,1766,2566,7
41343,14422,1766,2570,7
41753,14490,1766,2583,7
41942,14537,1766,2584,7
41738,14481,1766,2583,7
40951,14320,1766,2555,7
40943,14324,1766,2555,7
42029,14551,1766,2587,7
41549,14458,1766,2583,7
41527,14451,1766,2583,7
40959,14340,1766,2555,7
42000,14563,1766,2587,7
41238,14390,1766,2567,7
41280,14406,1766,2567,7
42773,14673,1769,2599,7
