battle_time,event_id,event_mode,event_map,battle_type,battle_mode,battle_result,battle_duration,battle_rank,battle_trophy_change,star_player_tag,star_player_name,star_player_brawler_id,star_player_brawler_name,star_player_brawler_power,star_player_brawler_trophies,teammate_1_tag,teammate_1_name,teammate_1_brawler_id,teammate_1_brawler_name,teammate_1_brawler_power,teammate_1_brawler_trophies,teammate_2_tag,teammate_2_name,teammate_2_brawler_id,teammate_2_brawler_name,teammate_2_brawler_power,teammate_2_brawler_trophies,teammate_3_tag,teammate_3_name,teammate_3_brawler_id,teammate_3_brawler_name,teammate_3_brawler_power,teammate_3_brawler_trophies,teammate_4_tag,teammate_4_name,teammate_4_brawler_id,teammate_4_brawler_name,teammate_4_brawler_power,teammate_4_brawler_trophies,teammate_5_tag,teammate_5_name,teammate_5_brawler_id,teammate_5_brawler_name,teammate_5_brawler_power,teammate_5_brawler_trophies
20241114T130656.000Z,15000848,trioShowdown,Feast or Famine,ranked,duoShowdown,,,4.0,-4.0,,,,,,,#2Q98QLVLJV,артем яйцами,16000079.0,ANGELO,9.0,467.0,#UQ9RJCYRU,moi,16000023.0,LEON,10.0,479.0,#LV9QQLR08,nguyentran,16000032.0,MAX,9.0,482.0,,,,,,,,,,,,
20241114T130633.000Z,15000848,trioShowdown,Feast or Famine,ranked,duoShowdown,,,3.0,2.0,,,,,,,#28PYPQ28CL,ciccioking,16000003.0,BROCK,8.0,493.0,#P090U099J,Sailas76,16000030.0,EMZ,10.0,485.0,#LV9QQLR08,nguyentran,16000032.0,MAX,9.0,480.0,,,,,,,,,,,,
20241114T123444.000Z,15000826,unknown,Final Frontier,ranked,siege,defeat,150.0,,-3.0,#Y2UYLP2C,PAOLO,16000006.0,BARLEY,10.0,505.0,#LV9QQLR08,nguyentran,16000032.0,MAX,9.0,483.0,#Q9QJ8RGL2,Pikachu,16000005.0,SPIKE,11.0,481.0,#Y2LG908YV,TM|CLASSIC,16000075.0,MICO,9.0,537.0,,,,,,,,,,,,
20241114T094300.000Z,15000826,unknown,Final Frontier,ranked,siege,defeat,150.0,,-3.0,#LV9QQLR08,nguyentran,16000032.0,MAX,9.0,486.0,#22VR9C9R02,Fettah Can 1903,16000043.0,EDGAR,9.0,434.0,#LV9QQLR08,nguyentran,16000032.0,MAX,9.0,486.0,#22PULVULVR,Arifbabapro🐐,16000018.0,DARRYL,9.0,507.0,,,,,,,,,,,,
20241114T093954.000Z,15000826,unknown,Final Frontier,ranked,siege,victory,88.0,,8.0,#82R9JC8JC,/TR/SXMET/EMS,16000048.0,GROM,9.0,496.0,#2898LRRJ8L,Osama-im Laden,16000022.0,TICK,10.0,492.0,#LV9QQLR08,nguyentran,16000032.0,MAX,9.0,478.0,#82R9JC8JC,/TR/SXMET/EMS,16000048.0,GROM,9.0,496.0,,,,,,,,,,,,
20241114T093749.000Z,15000826,unknown,Final Frontier,ranked,siege,victory,42.0,,8.0,#PC8CVCL8G,Ertuğrul Pasha,16000001.0,COLT,11.0,461.0,#9V89R0LP2,en iyisi,16000028.0,SANDY,10.0,539.0,#PC8CVCL8G,Ertuğrul Pasha,16000001.0,COLT,11.0,461.0,#LV9QQLR08,nguyentran,16000075.0,MICO,9.0,493.0,,,,,,,,,,,,
20241113T191256.000Z,15000019,heist,Safe Zone,soloRanked,heist,defeat,129.0,,,#8RYJQ2Q2L,Doodle,16000007.0,JESSIE,11.0,3.0,#LV9QQLR08,nguyentran,16000007.0,JESSIE,9.0,3.0,#GU082URVU,cocoroch,16000012.0,CROW,11.0,3.0,#LUJ0882P8,theanklesguy,16000001.0,COLT,10.0,3.0,,,,,,,,,,,,
20241113T190955.000Z,15000050,brawlBall,Sneaky Fields,soloRanked,brawlBall,victory,56.0,,,#LV9QQLR08,nguyentran,16000034.0,JACKY,10.0,3.0,#29GU08Q9U,Ferdinando11,16000020.0,FRANK,9.0,3.0,#2QC99RP0UV,CHRISS,16000043.0,EDGAR,9.0,3.0,#LV9QQLR08,nguyentran,16000034.0,JACKY,10.0,3.0,,,,,,,,,,,,
20241113T190808.000Z,15000440,knockout,Flaring Phoenix,soloRanked,knockout,victory,111.0,,,#88VRUGUP8,plex,16000085.0,KENJI,11.0,3.0,#LV9QQLR08,nguyentran,16000048.0,GROM,9.0,3.0,#2Q9YVQLV9V,GhoulAxl,16000019.0,PENNY,10.0,3.0,#88VRUGUP8,plex,16000085.0,KENJI,11.0,3.0,,,,,,,,,,,,
20241113T190503.000Z,15000440,knockout,Flaring Phoenix,soloRanked,knockout,victory,68.0,,,#RPR2P0QY0,Hapha,16000043.0,EDGAR,11.0,2.0,#RPR2P0QY0,Hapha,16000043.0,EDGAR,11.0,2.0,#8Q8JLCP09,S͛₳₥888,16000004.0,RICO,11.0,2.0,#LV9QQLR08,nguyentran,16000001.0,COLT,10.0,2.0,,,,,,,,,,,,
